age,female,income,wealth
23,0,271314,-15242
22,0,78243,-117468
21,0,207802,-53597
19,0,80876,20024
19,1,58623,6240
16,0,14880,0
15,1,3922,0
13,0,0,0
12,1,0,0
10,0,0,0
9,1,0,0
9,1,0,0
8,0,0,0
7,0,0,0
6,1,0,0
6,0,0,0
3,1,0,0
2,0,0,0
72,0,0,98254
67,0,39494,251427
63,0,139846,297309
58,0,288471,175212
58,1,217043,243363
57,0,1836,-79594
57,1,216325,407841
54,1,0,-167101
53,1,128198,-41690
52,1,206368,10257
52,0,0,5168
51,0,430974,-497627
50,0,657433,-1091426
49,1,92836,153970
49,1,239759,216365
49,0,633311,349128
48,1,101745,68906
48,1,217457,401777
46,1,0,489008
44,0,457460,-607900
44,0,394687,-155215
43,0,819081,1814770
42,0,351594,201981
42,1,27134,29739
41,1,130000,29420
38,0,440481,6301535
37,0,4350,400
36,0,342158,-49278
34,1,183000,1004243
33,0,386052,-112957
33,0,40086,168945
32,1,310564,-223712
31,0,179838,-393323
31,1,217082,157506
29,0,170099,520516
28,0,251738,-601748
25,1,167944,-171139
24,0,263307,209222
22,0,124948,-1376
21,1,50426,-71866
21,0,214336,-69593
20,0,159868,148751
19,1,10490,5294
19,0,59117,-144
18,1,3090,18415
18,0,47872,58041
16,0,3366,0
16,1,0,0
16,0,0,0
13,1,0,0
13,0,0,0
13,0,1814,0
12,0,0,0
11,0,0,0
8,0,0,0
7,1,0,0
6,1,0,0
6,0,0,0
3,0,0,0
1,1,0,0
80,1,-500,154911
72,0,5840,402804
71,0,0,242081
68,0,540,567345
63,1,254600,155123
63,0,195035,759517
61,1,63270,182585
58,0,0,17
56,0,231249,36499
52,0,238269,12831
51,1,215613,231569
49,0,327983,24816
47,1,0,260720
47,1,36058,128846
47,0,251249,1058934
46,0,347713,-97154
44,0,326480,5804
42,0,227167,-1448272
42,1,271550,375047
42,0,318347,-142673
41,0,142972,-227438
40,1,182325,-383568
40,0,530243,-623793
40,1,127610,-31531
40,0,410504,-333783
40,1,115444,371260
40,1,0,350595
38,0,451826,124424
38,1,194466,-27768
37,0,517886,-608406
35,1,124905,14129
34,0,158599,-659655
34,1,249990,39608
33,1,66690,112
33,0,354267,-537870
31,0,227863,-594784
31,0,289490,214643
28,0,255107,58596
27,1,216453,-407085
26,0,14825,-135164
26,1,308249,-68745
24,0,310790,107458
24,0,288437,-691744
